track_uri,popularity,danceability,energy,speechiness,instrumentalness,liveness,loudness,tempo,valence
spotify:track:0kEk0BqLdwHvKGYc9Lc3Xi,41,0.693,0.212,0.0283,0.00231,"(0.125,)",-9.329,94.09,0.151
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,84,0.799,0.539,0.0421,1.66e-05,"(0.165,)",-6.351,136.948,0.394
spotify:track:4jOWBx0QRJBQXq6olbTS03,34,0.634,0.603,0.0509,0.0,"(0.109,)",-6.38,123.969,0.703
spotify:track:3CP0bFXt7o0onWXVcfbghq,0,0.68,0.348,0.0328,0.0,"(0.1,)",-7.939,116.567,0.391
spotify:track:1GmCqvHiVaAaNrsO3URhY2,41,0.739,0.328,0.0434,0.944,"(0.112,)",-10.665,77.985,0.366
spotify:track:0Jcx9VqsO4t20gYeznW7Uq,59,0.469,0.929,0.0339,0.0,"(0.0574,)",-2.971,139.99,0.578
spotify:track:2Au50d6aZrsYrbxQzDjjYW,64,0.211,0.0262,0.0377,0.476,"(0.0757,)",-22.08,81.192,0.098
spotify:track:6KN9atd3DRhmSRWeCSKkkL,62,0.483,0.945,0.124,1.56e-06,"(0.364,)",-3.969,160.794,0.625
spotify:track:5ajjAnNRh8bxFvaVHzpPjh,84,0.386,0.426,0.0363,0.0,"(0.14,)",-6.642,180.104,0.261
spotify:track:5U4PgFWzfzY7VEg9Ck4ziF,75,0.589,0.527,0.0572,0.000337,"(0.104,)",-8.332,138.023,0.576
spotify:track:4gWTBq5Jftq5CEKYpLXD8R,60,0.434,0.764,0.0299,0.0,"(0.437,)",-3.45,51.316,0.309
spotify:track:2lAzmBq6991fuq3DbcL2hN,55,0.594,0.284,0.0309,0.876,"(0.1,)",-16.44,81.983,0.051
spotify:track:1u7a0FYW8DwfeFUeRqg4dh,0,0.696,0.218,0.0417,0.916,"(0.286,)",-10.983,164.066,0.311
spotify:track:5tpLWdOwcWfbYgpDkgSrMk,0,0.574,0.513,0.0252,0.945,"(0.145,)",-7.45,109.991,0.172
spotify:track:40IQpM8nXGJQQiWLoCGDTx,18,0.722,0.826,0.0326,0.0,"(0.368,)",-3.053,109.998,0.773
spotify:track:4SPG52JzaGQ184lRJDQ6Ep,27,0.337,0.102,0.0304,0.925,"(0.543,)",-22.559,83.976,0.374
spotify:track:6PiTsEEiNYU9a9xXowi9i5,49,0.262,0.17,0.0472,0.000407,"(0.204,)",-14.8,89.594,0.149
spotify:track:0vq7fkHZl2khMonn5G7d9l,60,0.685,0.67,0.0393,0.0,"(0.179,)",-5.663,117.98,0.863
spotify:track:2gJZ7Mh2QTFcF6hwDM1R2d,0,0.268,0.167,0.0406,5.53e-05,"(0.16,)",-10.297,55.354,0.246
spotify:track:0kQgPCe6FL0vVY9otIzXoM,51,0.461,0.423,0.0369,0.00118,"(0.137,)",-9.161,146.061,0.546
spotify:track:2Insq2oQMHiSh0RznSVFfH,42,0.692,0.232,0.0354,0.0,"(0.117,)",-10.901,94.99,0.736
